,name,artist
0,"thank u, next",ariana grande
1,before he cheats,carrie underwood
2,complicated,avril lavigne
3,bye bye bye,*nsync
4,shout out to my ex,little mix
5,she's so gone,lemonade mouth
6,give your heart a break,demi lovato
7,sorry not sorry,demi lovato
8,womanizer,britney spears
9,hot n cold,katy perry
10,no scrubs,tlc
11,josslyn,olivia o'brien
12,truth hurts,lizzo
13,don't call me up,mabel
14,toxic,britney spears
15,you're such a,hailee steinfeld
16,picture to burn,taylor swift
17,angels like you,miley cyrus
18,you're not sorry,taylor swift
19,clean,taylor swift
20,midnight sky,miley cyrus
21,should've said no,taylor swift
22,since u been gone,kelly clarkson
23,what the hell,avril lavigne
24,better than revenge,taylor swift
25,i forgot that you existed,taylor swift
26,drivers license,olivia rodrigo
27,potential breakup song,aly & aj
28,woman (feat. the dap-kings horns),kesha
29,i did something bad,taylor swift
30,sue me,sabrina carpenter
31,dear john,taylor swift
32,getaway car,taylor swift
33,back to december,taylor swift
34,haunted,taylor swift
35,want u back,cher lloyd
36,all you had to do was stay,taylor swift
37,the story of us,taylor swift
38,mr. perfectly fine (taylor’s version) (from the vault),taylor swift
39,good 4 u,olivia rodrigo
40,wildest dreams,taylor swift
41,potential breakup song,aly & aj
42,traitor,olivia rodrigo
43,happier,olivia rodrigo
44,favorite crime,olivia rodrigo
45,leave (get out) - 2018,jojo
46,out of the woods,taylor swift
47,death by a thousand cuts,taylor swift
48,deja vu,olivia rodrigo
49,august,taylor swift
50,the way i loved you (taylor’s version),taylor swift
51,forever & always (taylor’s version),taylor swift
52,bye bye baby (taylor’s version) (from the vault),taylor swift
53,champagne problems,taylor swift
54,right where you left me - bonus track,taylor swift
55,all i want,various artists
56,because of you,kelly clarkson
57,bleeding love,leona lewis
58,enough for you,olivia rodrigo
59,happier,ed sheeran
60,lose you to love me,selena gomez
61,someone like you,adele
62,the 1,taylor swift
63,silver springs - 2004 remaster,fleetwood mac
64,reckless,madison beer
65,i almost do (taylor's version),taylor swift
66,all too well (10 minute version) (taylor's version) (from the vault),taylor swift
67,i bet you think about me (feat. chris stapleton) (taylor’s version) (from the vault),taylor swift
68,i knew you were trouble (taylor's version),taylor swift
69,we are never ever getting back together (taylor's version),taylor swift
70,come back...be here (taylor's version),taylor swift
71,red (taylor's version),taylor swift
72,better man (taylor's version) (from the vault),taylor swift
73,the story of us,taylor swift
74,if you decide to leave someone,miles carter
75,a soulmate who wasn’t meant to be,jess benko
76,iris,the goo goo dolls
77,yellow,coldplay
78,chasing cars,snow patrol
79,the night we met,lord huron
80,out of reach,gabrielle
81,nothing i've ever known,bryan adams
82,bleeding love,leona lewis
83,when i was your man,bruno mars
84,here with me,dido
85,wish you were here,bee gees
86,with or without you - remastered,u2
87,she,harry styles
88,feel something,bea miller
89,drivers license,olivia rodrigo
90,violent,carolesdaughter
91,cut my hair,mounika.
92,x&y,coldplay
93,cry,cigarettes after sex
94,save your tears,the weeknd
95,creep on me,gashi
96,"break up with your girlfriend, i'm bored",ariana grande
97,play date,melanie martinez
98,wish you were gay,billie eilish
99,without a word,birdy
100,adore,amy shark
101,moments,one direction
102,home,one direction
103,sorry seems to be the hardest word,elton john
104,ilomilo,billie eilish
105,bored,billie eilish
106,don't tell me,ruel
107,falling,trevor daniel
108,temporary fix,one direction
109,i love you,billie eilish
110,cinnamon girl,lana del rey
111,flicker,niall horan
112,when the party's over,billie eilish
113,i'm not the only one,sam smith
114,only love can hurt like this,paloma faith
115,out of love,alessia cara
116,wrong direction,hailee steinfeld
117,the winner takes it all,abba
118,the heart wants what it wants,selena gomez
119,just a little bit of your heart,ariana grande
120,slide away,miley cyrus
121,nothing breaks like a heart (feat. miley cyrus),mark ronson
122,don't speak,no doubt
123,falling,harry styles
124,no tears left to cry,ariana grande
125,right now,one direction
126,stupid in love,rihanna
127,new rules,dua lipa
128,you don't know,katelyn tarver
129,lost without you,freya ridings
130,not about angels,birdy
131,be alright,dean lewis
132,need you now - acoustic,dean lewis
133,heal,tom odell
134,waves - acoustic,dean lewis
135,maybe i will learn,rhys
