,name,artist
0,make you mine,public
1,sweater weather,the neighbourhood
2,someone to you,banners
3,electric love,børns
4,swimming in stars,wayfarers
5,stupid,tate mcrae
6,what if i told you that i love you,ali gatie
7,love yourself,justin bieber
8,like to be you (feat. julia michaels),shawn mendes
9,hide & seek - sunday morning edit,mark mendy
10,"gone, gone, gone",phillip phillips
11,hold me while you wait,lewis capaldi
12,love me now,john legend
13,wildest dreams,taylor swift
14,it's you,ali gatie
15,perfect,ed sheeran
16,before you go,lewis capaldi
17,you broke me first,tate mcrae
18,little things,one direction
19,all of me,john legend
20,love story (taylor’s version),taylor swift
21,checkmate,jena rose
22,hold on,justin bieber
23,stereo hearts (feat. adam levine),various artists
24,everybody talks,neon trees
25,mine,bazzi
26,you,skylar stecker
27,can't help falling in love,christian leave
28,happier,ed sheeran
29,slow dancing in the dark,joji
30,get you the moon,kina
31,thinking out loud,ed sheeran
32,one day,tate mcrae
33,anyone,justin bieber
34,beautiful people (feat. khalid),ed sheeran
35,when hello means goodbye,alex alexander
36,one thing right,marshmello
37,good 4 u,olivia rodrigo
38,runnin',ark woods
39,saturday nights,khalid
40,photograph,ed sheeran
41,someone you loved,lewis capaldi
42,let it go,james bay
43,dazed & confused,ruel
44,happy now?,skyler wind
45,real thing,ruel
46,golden years - m-phazes remix,ruel
47,adore you,harry styles
48,painkiller,ruel
49,let me down slowly,alec benjamin
50,i'm so tired...,lauv
51,emotions,mark mendy
52,teenage mind,tate mcrae
53,talk is overrated,jeremy zucker
54,yellow hearts,ant saunders
55,no one compares to you,jack & jack
56,sugar,brockhampton
57,sex,eden
58,cry in public,praa
59,skinny love,birdy
60,happiest year,jaymes young
61,they don't know about us,one direction
62,waiting,kian
63,i like me better,lauv
64,just my type,the vamps
65,somebody to you,the vamps
66,waiting for love,avicii
67,bruises,navagio
68,you are the reason,calum scott
69,i'm yours,jason mraz
70,wild things,alessia cara
71,impossible,james arthur
72,say my name,destiny's child
73,dusk till dawn - radio edit,zayn
74,fighting with fire,arrie
75,phobias,johnny orlando
76,just the way you are,bruno mars
77,love is more depressing than depression,prxz
78,moral of the story,ashe
79,leave a light on,tom walker
80,wait for you,tom walker
81,waste my time,johnny orlando
82,sleep,johnny orlando
83,all i want,kodaline
84,ily (i love you baby) (feat. emilee),surf mesa
85,if i can't have you,shawn mendes
86,attack without warning,anna-sophie
87,"10,000 hours (with justin bieber)",dan + shay
88,can we kiss forever?,kina
89,old me,5 seconds of summer
90,why,sabrina carpenter
91,me and my broken heart,rixton
92,thinkin bout you,frank ocean
93,chasing cars,snow patrol
94,fix you,coldplay
95,how to save a life,the fray
96,when we were young,adele
97,when you love someone,james tw
98,don't let me down,conor maynard
99,pillowtalk,conor maynard
100,make you feel my love,adele
101,your song,elton john
102,all of me,john legend
103,at last - single version,etta james
104,beyond,leon bridges
105,thinking out loud,ed sheeran
106,baby can i hold you,tracy chapman
107,a thousand years,various artists
108,stand by me,ben e. king
109,my love is your love,whitney houston
110,halo,beyoncé
111,let's stay together,al green
112,i try,macy gray
113,how long will i love you - bonus track,ellie goulding
114,kiss from a rose,seal
115,i'll stand by you,pretenders
116,chasing cars,snow patrol
117,my girl,the temptations
118,turn me on,norah jones
119,wonderful tonight,eric clapton
120,out of reach,gabrielle
121,"i don't want to miss a thing - from ""armageddon"" soundtrack",various artists
122,unchained melody,the righteous brothers
123,you are so beautiful,joe cocker
124,time after time,cyndi lauper
125,say you won't let go,james arthur
126,put your records on,corinne bailey rae
127,iris,the goo goo dolls
128,when you say nothing at all,ronan keating
129,it's all coming back to me now - radio version,céline dion
130,take my breath away,berlin
131,warwick avenue,duffy
132,(everything i do) i do it for you,bryan adams
133,perfect duet (ed sheeran & beyoncé),ed sheeran
134,wherever you will go,the calling
135,truly madly deeply,savage garden
136,"valerie - live at bbc radio 1 live lounge, london / 2007",amy winehouse
137,can't help falling in love,elvis presley
138,every breath you take - remastered 2003,the police
139,hero,enrique iglesias
140,we belong together,mariah carey
141,careless whisper,wham!
142,because of you,kelly clarkson
143,ain't no sunshine,bill withers
144,purple rain,prince
145,with or without you,u2
146,bleeding love,leona lewis
147,eternal flame,the bangles
148,i want to know what love is - 2008 remaster,foreigner
149,when a man loves a woman - 2000 remaster,percy sledge
150,no one,alicia keys
151,total eclipse of the heart,bonnie tyler
152,sexual healing,various artists
153,angels - 2004 mix,robbie williams
154,"my heart will go on - love theme from ""titanic""",céline dion
155,i will always love you,dolly parton
156,let it go,james bay
157,endless love,various artists
158,last request,paolo nutini
159,"oh, pretty woman",roy orbison
160,i'll be there,various artists
161,heaven,bryan adams
162,nothing compares 2 u,sinéad o'connor
163,it must be love,madness
164,somethin' stupid,frank sinatra
165,i have nothing,whitney houston
166,a thousand miles,vanessa carlton
167,never too much,luther vandross
168,you make it real,james morrison
169,i say a little prayer,aretha franklin
170,(sittin' on) the dock of the bay,otis redding
171,can you feel the love tonight,various artists
172,without you,mariah carey
173,killing me softly with his song,roberta flack
174,i swear,all-4-one
175,be my baby,various artists
176,"you're the first, the last, my everything",barry white
177,for once in my life,stevie wonder
178,you to me are everything,the real thing
179,mandy,barry manilow
180,just be,paloma faith
181,ordinary people,john legend
182,she's always a woman,billy joel
183,don't dream it's over,crowded house
184,"free fallin' - live at the nokia theatre, los angeles, ca - december 2007",john mayer
185,lay me down - single version,sam smith
186,saving all my love for you,whitney houston
187,babylon,david gray
188,fast car,tracy chapman
189,save tonight,eagle-eye cherry
190,true - single edit,spandau ballet
191,i'll make love to you,boyz ii men
192,take me home,jess glynne
193,run,stephen fretwell
194,shallow,lady gaga
195,back for good - radio mix,take that
196,how do i live,leann rimes
197,drops of jupiter (tell me),train
198,you're still the one,shania twain
199,you and me,lifehouse
200,i couldn't be more in love,the 1975
201,fallingforyou,the 1975
202,lovesong (the way) [feat. bluets],charlie burg
203,the most beautiful thing,bruno major
204,blessed,daniel caesar
205,darling,christian leave
206,tkm,boy pablo
207,japanese denim,daniel caesar
208,airplane mode,limbo
209,us and the moon,kam michael
210,heavenly,cigarettes after sex
211,nothing's gonna hurt you baby,cigarettes after sex
212,mine,the 1975
213,sweet,cigarettes after sex
214,come inside of my heart,iv of spades
215,atlas: two,sleeping at last
216,can i call you tonight?,dayglow
217,angel,finneas
218,tightrope,zayn
219,i would,coin
220,love song for no one,john mayer
221,people watching,conan gray
222,make me your queen,declan mckenna
223,meteor shower,cavetown
224,cloud 9,beach bunny
225,pretty boy,the neighbourhood
226,this love,taylor swift
227,crushcrushcrush,paramore
228,love like you,caleb hyles
229,lucky ones,lana del rey
230,paper rings,taylor swift
231,that way,tate mcrae
232,i wanna be yours,arctic monkeys
233,"dance, baby!",boy pablo
234,hot rod,dayglow
235,dontmakemefallinlove,cuco
236,falling for the wrong one,dreamer boy
237,24 / 7 / 365,surfaces
238,scrawny,wallows
239,sports,beach bunny
240,i don't wanna be okay without you,charlie burg
241,captivated,iv of spades
242,we find love,daniel caesar
243,i <3 u,boy pablo
244,i love you so,the walters
245,loving is easy,rex orange county
246,glad you exist,dan + shay
247,the good ones,gabby barrett
248,closer to you,carly pearce
249,made for you,jake owen
250,forever after all,luke combs
251,take my name,parmalee
252,the bones,maren morris
253,somebody like that,tenille arts
254,"big, big plans",chris lane
255,everywhere i'm goin',maddie & tae
256,nobody,dylan scott
257,home sweet,russell dickerson
258,thinking 'bout you (feat. mackenzie porter),dustin lynch
259,long haul,ian munsick
260,beautiful crazy,luke combs
261,another,adam doleac
262,slow dance in a parking lot,jordan davis
263,love you like i used to,russell dickerson
264,chasin' me,caroline jones
265,always gonna love you,florida georgia line
266,"10,000 hours (with justin bieber)",dan + shay
267,coulda loved you longer,adam doleac
268,breathe,faith hill
269,waves,luke bryan
270,in case you didn't know,brett young
271,happy anywhere (feat. gwen stefani),blake shelton
272,eyes on you,chase rice
273,yours,russell dickerson
274,till there's nothing left,cam
275,blessed,thomas rhett
276,speechless,dan + shay
277,hell of a view,eric church
278,prayed for you,matt stell
279,promise to love her,blane howard
280,always gonna love you,alana springsteen
281,ocean,lady a
282,shallow (the duet with garth brooks and trisha yearwood),trisha yearwood
283,makin' plans,miranda lambert
284,you time,scotty mccreery
285,all i need to see,mitch rossell
286,between you & me (feat. ashley cooke),roman alexander
287,world for two,king calaway
288,found it in you,tiera
289,die a happy man,thomas rhett
290,rumor,lee brice
291,the difference,tyler rich
292,you got me,olivia lane
293,ran into you,mitch rossell
294,something special,aubrie sellers
295,where would i be,lady a
296,would you go with me,josh turner
297,the rest of our life,tim mcgraw
298,millionaire,chris stapleton
299,diamonds or twine,ryan hurd
300,love is real,morgan evans
301,butterflies,kacey musgraves
302,parallel line,keith urban
303,greatest love story,lanco
304,"forever and ever, amen",randy travis
305,she's in love with the boy - single version,trisha yearwood
306,you make it easy,jason aldean
307,pushing up daisies (love alive),brothers osborne
308,then,brad paisley
309,"love, me",collin raye
310,back to life,rascal flatts
311,steady heart,kameron marlowe
312,this is it,scotty mccreery
