,name,artist
0,like a g6,far east movement
1,shots,lmfao
2,starships,nicki minaj
3,good feeling,flo rida
4,where them girls at (feat. nicki minaj & flo rida),david guetta
5,danza kuduro,don omar
6,dynamite,taio cruz
7,tik tok,kesha
8,titanium (feat. sia),david guetta
9,friday (feat. mufasa & hypeman) - dopamine re-edit,riton
10,pumped up kicks,madism
11,break your heart,taio cruz
12,wild ones (feat. sia),flo rida
13,hips don't lie (feat. wyclef jean),shakira
14,despacito - remix,luis fonsi
15,"give me everything (feat. ne-yo, afrojack & nayer)",pitbull
16,like a prayer,madism
17,don't stop the music,rihanna
18,last friday night (t.g.i.f.),katy perry
19,s&m,rihanna
20,memories (feat. kid cudi),david guetta
21,shape of you,boostereo
22,california gurls,katy perry
23,time of our lives,pitbull
24,sorry,justin bieber
25,timber (feat. ke$ha),pitbull
26,feel so close - radio edit,calvin harris
27,kiss me more,diorange
28,just dance,lady gaga
29,scream & shout,will.i.am
30,ooh la la,gt_ofice
31,summer,calvin harris
32,mr. brightside,the killers
33,evacuate the dancefloor,cascada
34,burnin' - voost remix,morganj
35,single ladies (put a ring on it),beyoncé
36,sexyback (feat. timbaland),justin timberlake
37,yeah! (feat. lil jon & ludacris),usher
38,try this again,gt_ofice
39,i know you want me (calle ocho),pitbull
40,crank that (soulja boy),soulja boy
41,keep on smiling,graham candy
42,no money,galantis
43,ridin' solo,jason derulo
44,baby when the light,chrit leaf
45,crazy in love (feat. jay-z),beyoncé
46,dark horse,katy perry
47,pretty people,pucker
48,airplanes (feat. hayley williams of paramore),b.o.b
49,checkmate,jena rose
50,every time we touch,cascada
51,unsteady,chrit leaf
52,you da one,rihanna
53,bedrock,young money
54,therapy,sagan
55,party in the u.s.a.,miley cyrus
56,right now,hunter blair ambrose
57,loyal (feat. lil wayne & tyga),chris brown
58,boyfriend,justin bieber
59,clarity,zedd
60,levels - radio edit,avicii
61,dj got us fallin' in love,usher
62,bleu chanel - na-no remix,aria
63,diamonds,rihanna
64,stay the night - featuring hayley williams of paramore,zedd
65,levitating (feat. dababy),dua lipa
66,close to you,polar
67,i gotta feeling,black eyed peas
68,beautiful girls,various artists
69,bout a thing (feat. ava king),sa
70,hotel room service,pitbull
71,replay,iyaz
72,cupid's chokehold / breakfast in america,gym class heroes
73,ghost,kacey fifield
74,down,jay sean
75,bumpy ride,mohombi
76,bailamos,braaheim
77,baby,justin bieber
78,super bass,nicki minaj
79,on the world,jeonghyeon
80,we can't stop,miley cyrus
81,dreamin' - remix,josefine
82,pound the alarm,nicki minaj
83,teenage dream,katy perry
84,"young, wild & free (feat. bruno mars)",snoop dogg
85,feel this moment (feat. christina aguilera),pitbull
86,nightmoves,scott forshaw
87,get low,lil jon & the east side boyz
88,american boy,estelle
89,make a move,aarika
90,beauty and a beat,justin bieber
91,party rock anthem,lmfao
92,mr. saxobeat,masove
93,good time,carly rae jepsen
94,classic,mkto
95,international love (feat. chris brown),pitbull
96,freed from desire,madism
97,in da club,50 cent
98,bodak yellow,cardi b
99,i don't mind (feat. juicy j),usher
100,billie jean,michael jackson
101,i wanna dance with somebody (who loves me),whitney houston
102,you can't hurry love - 2016 remaster,phil collins
103,wake me up before you go-go,wham!
104,dancing on the ceiling,lionel richie
105,girls just want to have fun,cyndi lauper
106,summer of '69,bryan adams
107,i'm still standing,elton john
108,"footloose - from ""footloose"" soundtrack",various artists
109,walking on sunshine,katrina & the waves
110,i'm so excited,the pointer sisters
111,9 to 5,dolly parton
112,uptown girl,billy joel
113,"(i've had) the time of my life - from ""dirty dancing"" soundtrack",various artists
114,flashdance...what a feeling - radio edit,irene cara
115,heaven is a place on earth,belinda carlisle
116,the power of love,huey lewis & the news
117,kiss,prince
118,karma chameleon,culture club
119,la bamba,los lobos
120,i love rock 'n roll,joan jett & the blackhearts
121,the way you make me feel - 2012 remaster,michael jackson
122,sweet dreams (are made of this) - remastered,eurythmics
123,celebration,kool & the gang
124,take on me,a-ha
125,dancing in the dark,bruce springsteen
126,faith - remastered,george michael
127,the best,tina turner
128,dancing in the street - 2002 remaster,david bowie
129,jump (for my love),the pointer sisters
130,holiday,madonna
131,two hearts,phil collins
132,crazy little thing called love - remastered 2011,queen
133,a little respect - 2009 - remaster,erasure
134,got my mind set on you - remastered 2004,george harrison
135,invisible touch - remastered 2007,genesis
136,you can call me al,paul simon
137,like a prayer,madonna
138,freedom,wham!
139,the look,roxette
140,walk of life,dire straits
141,easy lover,philip bailey
142,the loco-motion,kylie minogue
143,super trouper,abba
144,something happened on the way to heaven - 2016 remaster,phil collins
145,papa don't preach,madonna
146,if i could turn back time,cher
147,love shack,the b-52's
148,i'm your man,wham!
149,don't you want me,the human league
150,chain reaction,diana ross
151,true blue,madonna
152,give it up,kc & the sunshine band
153,working my way back to you,the spinners
154,the only way is up,yazz
155,don't leave me this way (with sarah jane morris),the communards
156,gloria,laura branigan
157,always on my mind,pet shop boys
158,she drives me crazy,fine young cannibals
159,this time i know it's for real,donna summer
160,addicted to love,robert palmer
161,xanadu,electric light orchestra
162,"the heat is on - from ""beverly hills cop"" soundtrack",various artists
163,into the groove,madonna
164,"when the going gets tough, the tough get going",billy ocean
165,sledgehammer,peter gabriel
166,tell her about it,billy joel
167,start me up - remastered 2009,the rolling stones
168,thorn in my side - remastered,eurythmics
169,glory days,bruce springsteen
170,fame,various artists
171,a kind of magic - remastered 2011,queen
172,"get outta my dreams, get into my car",billy ocean
173,just can't get enough,depeche mode
174,live it up,mental as anything
175,how will i know,whitney houston
176,why do fools fall in love,diana ross
177,all night long (all night),lionel richie
178,sussudio - 2016 remaster,phil collins
179,venus,bananarama
180,americanos,holly johnson
181,upside down,diana ross
182,our house,madness
183,don't get me wrong - 2007 remaster,pretenders
184,sweet little mystery,wet wet wet
185,can you feel it,the jacksons
186,making your mind up,bucks fizz
187,club tropicana,wham!
188,i'm coming out,diana ross
189,the way to your heart,various artists
190,loco in acapulco,four tops
191,gold - 2003 remaster,spandau ballet
192,maneater,daryl hall & john oates
193,walk like an egyptian,the bangles
194,need you tonight,inxs
195,good thing,fine young cannibals
196,love changes (everything),climie fisher
197,raspberry beret,prince
198,she works hard for the money,donna summer
199,"the look of love ,pt.1",abc
200,"ghostbusters - from ""ghostbusters""",original soundtrack
201,thriller - single version,michael jackson
202,disturbia,rihanna
203,monster mash,"bobby ""boris"" pickett"
204,everybody (backstreet's back) - radio edit,various artists
205,"spooky, scary skeletons - undead tombstone remix",andrew gold
206,somebody's watching me - single version,michael jackson
207,blinding lights,the weeknd
208,bad guy,billie eilish
209,sweet dreams (are made of this) - remastered,eurythmics
210,superstition,stevie wonder
211,i want candy,bow wow wow
212,toxic,britney spears
213,banana boat (day-o),harry belafonte
214,heads will roll - a-trak remix,yeah yeah yeahs
215,she wolf,shakira
216,highway to hell,ac/dc
217,dark horse,katy perry
218,levitating (feat. dababy),dua lipa
