,name,artist
0,the prayer (with charlotte church),josh groban
1,you raise me up,josh groban
2,the power of your love,maranatha! praise band
3,lead me lord,gary valenciano
4,god will make a way,don moen
5,who am i,casting crowns
6,give thanks,don moen
7,i surrender,céline dion
8,"here i am, lord",john michael talbot
9,make me a channel of your peace,various artists
10,you are my hiding place,selah
11,with all my heart,joann rosario
12,i know who holds tomorrow,alison krauss
13,i know who holds tomorrow,alison krauss
14,blessed assurance,alan jackson
15,because he lives,gaither vocal band
16,in his time,maranatha! music
17,what a friend we have in jesus,loretta lynn
18,"precious lord, take my hand / just a closer walk with thee",selah
19,turn your eyes upon jesus,alan jackson
20,when we all get to heaven,alan jackson
21,the old rugged cross,alan jackson
22,how great thou art,alan jackson
23,sino ako? - original,jamie rivera
24,tanging yaman,basil valdez
25,mahiwaga,angeline quinto
26,pananagutan,jamie rivera
27,may bukas pa,anthony castelo
28,hesus,alamid
29,sapagkat ang diyos ay pag-ibig,various artists
30,i want to be where you are,don moen
31,sailing,rod stewart
32,(there'll be) peace in the valley (for me),elvis presley
33,"take my hand, precious lord",elvis presley
34,he knows just what i need,elvis presley
35,crying in the chapel,elvis presley
36,in the garden,elvis presley
37,you'll never walk alone,elvis presley
38,the rose,bette midler
39,in the garden,kenny rogers
40,just a closer walk with thee,kenny rogers
41,the lord's prayer,kenny rogers
42,ang aking dasal,various artists
43,ang tanging alay ko,april boy regino
44,mad at god,sarah saint james
45,bad religion,frank ocean
46,if i believe you,the 1975
47,saints,echos
48,saint bernard,lincoln
49,"i feel wrong (homosexuality, pt. 1)",glasvegas
50,amen,amber run
51,take me to church,hozier
52,"jesus, jesus",noah gundersen
53,achilles come down,gang of youths
54,hallelujah,panic! at the disco
55,hallelujah,jeff buckley
56,oh ana,mother mother
57,a happy death - again -,kikuo
58,i am shit,crywank
59,from eden,hozier
60,sweet hibiscus tea,penelope scott
61,survivor's guilt,coma cinema
62,brother,falling in reverse
63,jesus christ 2005 god bless america,the 1975
64,all that's known - original broadway cast recording/2006,duncan sheik
65,the guilty ones - original broadway cast recording/2006,duncan sheik
66,why god why? - live,claude-michel schönberg
67,worn,tenth avenue north
68,be nice to me,the front bottoms
69,teen idle,marina
70,r.i.p. 2 my youth,the neighbourhood
71,king park,la dispute
72,angels & demons,jxdn
73,burn the witch,shawn james
74,i'm not a good person,pat the bunny
75,wait for it,lin-manuel miranda
76,it's quiet uptown,lin-manuel miranda
77,the river,good charlotte
78,i'm not a saint,billy raffoul
79,millennial rock,mouthy downtown
80,antichrist,the 1975
81,bethlehem,semler
82,jesus from texas,semler
83,youth group,semler
84,a good man,semler
85,promised land (outro),semler
86,monet issues,chase petra
87,least favorite only child,leanna firestone
88,out of order,michl
89,class of 2013,mitski
90,totally fucked - original broadway cast recording/2006,duncan sheik
91,raging on a sunday,bohnes
92,oh god,orla gartland
93,revival,echos
94,my religion,skillet
95,jesus don't like that i'm gay but satans cool with it,lil boodang
96,unthinkable,cloudy june
97,by your side,tenth avenue north
98,you are more,tenth avenue north
99,devil town,cavetown
100,can i still go to heaven if i kill myself?,original god
101,trees,mccafferty
102,mama,my chemical romance
103,what'd i do with all this faith?,bleachers
104,hayloft,mother mother
105,verbatim,mother mother
106,arms tonite,mother mother
107,oh ana,mother mother
108,wrecking ball,mother mother
109,sex with a ghost,teddy hyde
110,take me to church,hozier
111,saint bernard,lincoln
112,runaway,aurora
113,i love you like an alcoholic,the taxpayers
114,murders,miracle musical
115,dream sweet in sea major,miracle musical
116,always forever,cults
117,choke,i dont know how but they found me
118,twin size mattress,the front bottoms
119,be nice to me,the front bottoms
120,the stand,mother mother
121,me and my husband,mitski
122,achilles come down,gang of youths
123,cancer,my chemical romance
124,as the world caves in,matt maltese
125,rät,penelope scott
126,devil town,cavetown
127,francis forever,mitski
128,blah blah blah,the oozes
129,bird song,florence + the machine
130,"hello, my name is",matthew west
131,no longer slaves (live),bethel music
132,everlasting god,chris tomlin
133,good good father,chris tomlin
134,rescuer (good news),rend collective
135,resurrection day,rend collective
136,counting every blessing,rend collective
137,nailed to the cross,rend collective
138,spirit break out - live,kim walker-smith
139,what a beautiful name,hillsong worship
140,nothing is impossible,planetshakers
141,it is well with my soul - live,matt redman
142,it is well (live),bethel music
143,our god,chris tomlin
144,great are you lord,all sons & daughters
145,how he loves,david crowder band
146,love came down,kari jobe
147,lay me down,chris tomlin
148,revelation song,jesus culture
149,"mighty to save - live at sydney entertainment centre, sydney, australia/2006",various artists
150,build your kingdom here (live),various artists
151,from the inside out,hillsong united
152,this is amazing grace,bethel music
153,god's great dance floor,chris tomlin
154,your love never fails,newsboys
155,shout hosanna - live,passion
156,sinking deep - live,hillsong young & free
157,happy day - happy day album version,various artists
158,we dance (live),bethel music
159,home,chris tomlin
160,your grace finds me - live,matt redman
161,i can only imagine,mercyme
162,one things remains,bethel music
163,my lighthouse,rend collective
164,"10,000 reasons (bless the lord) - live",matt redman
