,name,artist
0,way 2 sexy (with future & young thug),drake
1,i know,big sean
2,in my bed,rotimi
3,traumatized (feat. lil durk) - remix,asian doll
4,the take (feat. chris brown),tory lanez
5,streets,doja cat
6,count me in,they.
7,drunk in love (feat. jay-z),beyoncé
8,drunk texting (feat. jhené aiko),chris brown
9,wait for a minute,tyga
10,fallen,kendrick p.
11,let me love you,ariana grande
12,bake sale (feat. travis scott),wiz khalifa
13,addiction - main,ryan leslie
14,low life (feat. the weeknd),future
15,love faces,trey songz
16,superstar,danileigh
17,still be friends (feat. tory lanez & tyga),g-eazy
18,goosebumps,travis scott
19,p*$$y fairy (otw),jhené aiko
20,waves (feat. 6lack),normani
21,bali,jessica foxx
22,your love,dj g.o.d.
23,wine pon you (feat. konshens),doja cat
24,smts,jeremih
25,chi chi (feat. chris brown),trey songz
26,wrong (feat. lil uzi vert),max
27,opal,chaitha
28,new flame,chris brown
29,party favors (feat. young thug),tinashe
30,rain (feat. swae lee),trey songz
31,under the influence,chris brown
32,play girl,baby tate
33,trust issues,armilee
34,skin,rihanna
35,bed (feat. ariana grande),nicki minaj
36,na na,trey songz
37,"yeah, i said it",rihanna
38,on call (feat. ty dolla $ign),trey songz
39,spicy (feat. post malone),ty dolla $ign
40,pyd,justin bieber
41,mannequin (feat. lil tjay),pop smoke
42,wus good / curious,partynextdoor
43,acquainted,the weeknd
44,bad (feat. rihanna) - remix,wale
45,excitement,trippie redd
46,sex on the beach,partynextdoor
47,extravagant (feat. nicki minaj),lil durk
48,sextasy,swae lee
49,look back at it,a boogie wit da hoodie
50,"feel it (feat. rich homie quan, lloyd)",jacquees
51,top 10 (feat. jeremih),trey songz
52,to my bed,chris brown
53,2012,chris brown
54,birthday sex,jeremih
55,naughty girl,beyoncé
56,all the time,jeremih
57,get on your knees,nicki minaj
58,red lipstick,rihanna
59,pop style,drake
60,cyclone (feat. t-pain),baby bash
61,"or nah (feat. the weeknd, wiz khalifa & dj mustard) - remix",ty dolla $ign
62,all on me,chris lee
63,first fuck,6lack
64,sex with me,rihanna
65,sex playlist,omarion
66,bad intentions,niykee heaton
67,come thru,jacquees
68,come thru (with usher),summer walker
69,crazy in love - remix,beyoncé
70,pillowtalk,zayn
71,no love,august alsina
72,private room,boosie badazz
73,the weekend,sza
74,bang your line (feat. ty dolla $ign),elhae
75,face,pnb rock
76,2 on (feat. schoolboy q),tinashe
77,grind with me,pretty ricky
78,me u & hennessy (feat. lil wayne),dej loaf
79,gangsta,various artists
80,freaky,tink
81,no sense,justin bieber
82,into it,chase atlantic
83,swim,chase atlantic
84,sex sounds,lil tjay
85,taste (feat. offset),tyga
86,hoe phase,chrystian lehr
87,privacy,chris brown
88,stretch you out (feat. a boogie wit da hoodie),summer walker
89,wet the bed (feat. ludacris),chris brown
90,sex you,bando jonez
91,often,the weeknd
92,b.e.d.,jacquees
93,slow motion,trey songz
94,porn star,august alsina
95,ocean (feat. jacquees),tk kravitz
96,freak in you,partynextdoor
97,make up sex,somo
98,beg for it,chris brown
99,earned it (fifty shades of grey),the weeknd
100,we (feat. ceelo green),mac miller
101,otw,dj luke nasty
102,having sex (feat. trina & 2 chainz),juicy j
103,might not,belly
104,ride,somo
105,birthday sex,jeremih
106,ignition (remix),r. kelly
107,often,the weeknd
108,"earned it (fifty shades of grey) - from the ""fifty shades of grey"" soundtrack",the weeknd
109,only,nicki minaj
110,star67,drake
111,or nah (feat. wiz khalifa & dj mustard),ty dolla $ign
112,face down,mustard
113,studio,schoolboy q
114,let's get away - revised explicit /old hook,t.i.
115,feeling myself,nicki minaj
116,can't stay (feat. t.i.),ty dolla $ign
117,i'd rather fuck you,n.w.a.
118,all the time,jeremih
119,pull my hair,ying yang twins
120,wait (the whisper song),ying yang twins
121,grind with me,pretty ricky
122,call me,pretty ricky
123,late night special,pretty ricky
124,wetter,twista
125,pretty pussy,plies
126,let's get married (feat. run) - remarqable remix,jagged edge
127,let's ride,various artists
128,get a little closer,pretty ricky
129,that water,dorrough music
130,splash waterfalls,ludacris
131,marry the p***y,r. kelly
132,i luv this shit,august alsina
133,ride it (feat. christina milian),eric bellinger
134,legs shakin' (feat. ludacris),r. kelly
135,private show (feat. chris brown),t.i.
136,t-shirt & panties,adina howard
137,power trip (feat. miguel),j. cole
138,lollipop,lil wayne
139,pony,various artists
140,start a fire,lil wayne
141,planes,jeremih
142,fuck you tonight (feat. r. kelly) - 2014 remaster,the notorious b.i.g.
143,makin love,fabolous
144,play,david banner
145,wild thing,tone-loc
146,put it in your mouth,akinyele
147,"my neck, my back (lick it) - street/club version",khia
148,bedrock,young money
149,wetter featuring erika shevon,twista
150,get it wet,twista
151,emotions,twista
152,yo body,twista
153,i will,danny brown
154,do my dance,tyga
155,take me home,terror squad
156,neighbors know my name,trey songz
157,freek'n you,jodeci
158,anywhere,112
159,back that azz up,juvenile
160,slow motion,juvenile
161,body party,ciara
