,name,artist,meaning
0,make you mine,public,love
1,sweater weather,the neighbourhood,love
2,someone to you,banners,love
3,electric love,børns,love
4,swimming in stars,wayfarers,love
5,stupid,tate mcrae,love
6,what if i told you that i love you,ali gatie,love
7,love yourself,justin bieber,love
8,like to be you (feat. julia michaels),shawn mendes,love
9,hide & seek - sunday morning edit,mark mendy,love
10,"gone, gone, gone",phillip phillips,love
11,hold me while you wait,lewis capaldi,love
12,love me now,john legend,love
13,wildest dreams,taylor swift,love
14,it's you,ali gatie,love
15,perfect,ed sheeran,love
16,before you go,lewis capaldi,love
17,you broke me first,tate mcrae,love
18,little things,one direction,love
19,all of me,john legend,love
20,love story (taylor’s version),taylor swift,love
21,checkmate,jena rose,love
22,hold on,justin bieber,love
23,stereo hearts (feat. adam levine),various artists,love
24,everybody talks,neon trees,love
25,mine,bazzi,love
26,you,skylar stecker,love
27,can't help falling in love,christian leave,love
28,happier,ed sheeran,love
29,slow dancing in the dark,joji,love
30,get you the moon,kina,love
31,thinking out loud,ed sheeran,love
32,one day,tate mcrae,love
33,anyone,justin bieber,love
34,beautiful people (feat. khalid),ed sheeran,love
35,when hello means goodbye,alex alexander,love
36,one thing right,marshmello,love
37,good 4 u,olivia rodrigo,love
38,runnin',ark woods,love
39,saturday nights,khalid,love
40,photograph,ed sheeran,love
41,someone you loved,lewis capaldi,love
42,let it go,james bay,love
43,dazed & confused,ruel,love
44,happy now?,skyler wind,love
45,real thing,ruel,love
46,golden years - m-phazes remix,ruel,love
47,adore you,harry styles,love
48,painkiller,ruel,love
49,let me down slowly,alec benjamin,love
50,i'm so tired...,lauv,love
51,emotions,mark mendy,love
52,teenage mind,tate mcrae,love
53,talk is overrated,jeremy zucker,love
54,yellow hearts,ant saunders,love
55,no one compares to you,jack & jack,love
56,sugar,brockhampton,love
57,sex,eden,love
58,cry in public,praa,love
59,skinny love,birdy,love
60,happiest year,jaymes young,love
61,they don't know about us,one direction,love
62,waiting,kian,love
63,i like me better,lauv,love
64,just my type,the vamps,love
65,somebody to you,the vamps,love
66,waiting for love,avicii,love
67,bruises,navagio,love
68,you are the reason,calum scott,love
69,i'm yours,jason mraz,love
70,wild things,alessia cara,love
71,impossible,james arthur,love
