,ARTIST_NAME,SONG_NAME,LYRICS,Unnamed: 0,name,artist,meaning
0,6ix9ine,billy,":], that's my word, get up in they face, talk your shit, let your nuts drag, nigga, these niggas just runnin' out they fuckin' mouth, man, follow protocol, blood, get in they fuckin' chest, nigga, we the fuckin' m.o.b. nigga, these niggas bleed different, we don't bleed, nigga, we make niggas bleed, blood, tr3yway, these niggas say they heard of me, i ain't heard of you, get the fuck up out my fuckin' face, 'fore i murder you, bitch niggas always jackin' blood, but i know they fu, whole squad full of fuckin' killers, i'm a killer too, sending shots, shots, shots, shots, shots, nigga, everybody gettin' pop, pop, popped, nigga, the thing go rrrah",2700,billy,6ix9ine,party
1,2 chainz,it's a vibe,", yeah, hahaha, yeah, ooh, yah,], that's a vibe, she wanna vibe, yeah, that's a vibe, yeah, uh, that's a vibe, it's a vibe, that's a vibe, yeah, yeah, yeah, oh that's a vibe, oh it's a vibe, that's a vibe, that's a vibe, she wanna vibe, yeah, that's a vibe, yeah, yeah, yeah, yeah, that's a vibe, she wanna vibe, that's a vibe, this shit vibe, yeah, yeah, late night, oh it's a vibe, let me slide, oh it's a vibe, yeah, yeah, dim the lights, oh it's a vibe, yeah, get high, it's a vibe, oh it's a vibe, yeah,], it's a vibe, don't you like?, your pussy drippin', gushin', drippin' down your thighs, it's a vibe, get high, diggin' deep while i'm lookin' in your eyes, vibe is the realest, i know you feel it, it's a vibe, different vibe, this my vibe, nigga, all the bitches like it, okay, so i got the ambiance just where i want it, and if you get paid, it's solely based on your performance, my ego is enormous like my crib in california, if you ain't got no heart, man you gonna need a donor, now i said i'm from the corner of the atl, where we got that clientele, avoid paper trails, broke so many bales down that i'm shell shocked, a hell glock, sold rocks by the mailbox, still got a vibe, make a young chick turn her neck, got a vibe, make a cougar wanna spend a check, got a vibe, make an asian want hibachi, got a vibe, italian want versace, carbon copies get declined, i'm the pioneer, beat that pussy up, i need riot gear, any volunteers?, gas in a ziploc, now that's loud and clear, this one outta here, this is our year, that's a vibe, that's a vibe, that's a vibe, oh that's a vibe, yeah, yeah, that's a vibe, it's a vibe, it's a vibe, that's a vibe, yeah, yeah, it's a vibe, am i your type?, pussy tight, maybe i'll spend the night, yeah, yeah, that's a vibe, bust it, bust it wide, this the type of shit i like, yeah, yeah, that's a vibe, it's a vibe, that's a vibe, oh it's a vibe, yeah, yeah, it's a vibe, yeah, yeah, yeah",2868,it's a vibe,2 chainz,sex
2,5 seconds of summer,ghost of you,"here i am waking up, still can't sleep on your side, there's your coffee cup, the lipstick stain fades with time, if i could dream long enough, you'd tell me i'd be just fine, i'll be just fine, so i drown it out like i always do, dancing through our house with the ghost of you, and i chase it down, with this shot of truth, dancing through our house with the ghost of you, cleaning up today, found that old zeppelin shirt, you wore when you ran away, and no one could feel your hurt, we're too young, too dumb, to know things like love, but i know better now, better now, so i drown it out like i always do, dancing through our house with the ghost of you, and i chase it down, with this shot of truth, dancing through our house with the ghost of you, too young, too dumb, to know things like love, too young, too dumb, so i drown it out like i always do, dancing through our house with the ghost of you, and i chase it down, with this shot of truth, that my feet don't dance like they did with you",1401,ghost of you,5 seconds of summer,breakup
3,5 seconds of summer,amnesia,", i drove by all the places we used to hang out getting wasted, i thought about our last kiss, how it felt, the way you tasted, and even though your friends tell me you're doing fine, are you somewhere feeling lonely even though he's right beside you?, when he says those words that hurt you, do you read the ones i wrote you?, sometimes i start to wonder, was it just a lie?, if what we had was real, how could you be fine?, 'cause i'm not fine at all, i remember the day you told me you were leaving, i remember the make-up running down your face, and the dreams you left behind you didn't need them, like every single wish we ever made, i wish that i could wake up with amnesia, and forget about the stupid little things, like the way it felt to fall asleep next to you, and the memories i never can escape, 'cause i'm not fine at all, the pictures that you sent me they're still living in my phone, i'll admit i like to see them, i'll admit i feel alone, and all my friends keep asking why i'm not around, it hurts to know you're happy, yeah, it hurts that you've moved on, it's hard to hear your name when i haven't seen you in so long, it's like we never happened, was it just a lie?, if what we had was real, how could you be fine?, 'cause i'm not fine at all, i remember the day you told me you were leaving, i remember the make-up running down your face, and the dreams you left behind you didn't need them, like every single wish we ever made, i wish that i could wake up with amnesia, and forget about the stupid little things, like the way it felt to fall asleep next to you, and the memories i never can escape, if today i woke up with you right beside me, like all of this was just some twisted dream, i'd hold you closer than i ever did before, and you'd never slip away, and you'd never hear me say, i remember the day you told me you were leaving, i remember the make-up running down your face, and the dreams you left behind you didn't need them, like every single wish we ever made, i wish that i could wake up with amnesia, and forget about the stupid little things, like the way it felt to fall asleep next to you, and the memories i never can escape, 'cause i'm not fine at all, no, i'm really not fine at all, tell me this is just a dream, 'cause i'm really not fine at all",1104,amnesia,5 seconds of summer,breakup
4,11:11,west side,"i know where you are, i know where you are, just let me make a call, let me make a call, we gonna get turned up tonight right here, east side chillin' with my bish and well, baby, hold up, you know what to do, just take me make a move, baby, hold up, you know what to do, let me make a move baby, hold up, hold up, hold up, hold up, yeah, i'm on my west side chill, hold up, hold up, hold up, hold up, i'm a young nigga gettin' shit, hold up, hold up, hold up, hold up, yeah, i'm on my west side shit, hold up, hold up, hold up, hold up, i'm a young nigga gettin' rich, hold up, hold up, hold up, hold up, you know what to do, just take me make a move, you know what to do, yeah i'm on the east side but i'm on my west side shit, yeah i got the west side lit, in the west side chillin' with my east side bitch, and she want that west side dick, yeah they love me cause i'm ours and the west side lit, i've been on the west side, kid, but, she told me she don't know what the west side is, so we went up on a west side trip, now baby. baby, hold up, you know what to do, just take me make a move, baby, hold up, you know what to do, let me make a move, baby, hold up, hold up, hold up, hold up, yeah, i'm on my west side chill, hold up, hold up, hold up, hold up, i'm a young nigga gettin' shit, hold up, hold up, hold up, hold up, yeah, i'm on my west side shit, hold up, hold up, hold up, hold up, i'm a young nigga gettin' rich, you know what to do, just let me make a move, you know what to do, you know what to do, just let me make a move, you know what to do, you know what to do, just let me make a move, you know what to do",3336,west side,11:11,sex
5,5 seconds of summer,lie to me,"i saw you looking brand new overnight, i caught you looking too, but you didn't look twice, you look happy, oh, you look happy, oh, flashing back to new york city, change your flight so you stay with me, remember thinking that i got this right, and now i wish we never met, 'cause you're too hard to forget, while i'm cleaning up your mess, i know he's taking off your dress, and i know that you don't, but if i ask you if you love me, i hope you li-li-li-lie, lie to me, it's 3 am and the moonlight's testing me, if i can make it till dawn then it won't be hard to see, i ain't happy, oh, i ain't too happy, oh, flashing back to new york city, change your flight so you stay with me, problem was i thought i had this right, now i wish we never met, 'cause you're too hard to forget, while i'm cleaning up your mess, know he's taking off your dress, i know that you don't, but if i ask you if you love me, i hope you li-li-li-lie, lie to me, singing li-li-li-lie, li-li-li-li-li-lie, li-li-li-li-li-lie, li-li-li-li-li-lie, and i know that you don't, but if i ask you if you love me, i hope you li-li-li-lie, lie to me",478,lie to me,5 seconds of summer,love
6,3 doors down,kryptonite,"well, i took a walk around the world, to ease my troubled mind, i left my body lying somewhere, in the sands of time, but i watched the world float to the dark side of the moon, i feel there is nothing i can do, i watched the world float to the dark side of the moon, after all i knew it had to be something to do with you, i really don't mind what happens now and then, as long as you'll be my friend at the end, if i go crazy then will you still call me superman?, if i'm alive and well, will you be there a-holding my hand?, i'll keep you by my side, with my superhuman might, kryptonite, you called me strong, you called me weak, but still your secrets i will keep, you took for granted all the times, i never let you down, you stumbled in and bumped your head, if not for me then you'd be dead, i picked you up and put you back on solid ground, if i go crazy then will you still call me superman?, if i'm alive and well, will you be there a-holding my hand?, i'll keep you by my side, with my superhuman might, kryptonite, if i go crazy then will you still call me superman?, if i'm alive and well, will you be there holding my hand?, i'll keep you by my side, with my superhuman might, kryptonite, if i go crazy then will you still call me superman?, if i'm alive and well, will you be there a-holding my hand?, i'll keep you by my side, with my superhuman might, kryptonite",2032,kryptonite,3 doors down,party
7,6lack,stan,"i'ma write you my best song, it's gon' take me all night long, i was up late by myself, i ain't never need no help, i will love you when you're old, and you lose the words you spoke, time will never wait on us, but it never can age our love, aw, yeah, say you'll always be my greatest fan, sing your favorite words just like a band, only if you'll love me like a stan, stan, stan, aw, man, down to walk the walk until the end, the prize, you find a lover and a friend, baby, i'ma love you like a stan, stan, stan, aw, man, all that i, all that i wanna do, is put it on, put it on, put it on, put it on the line, hoping we go out at the same time, 'cause life without my love is a slam-run, that mean it works out but it ain't quite-, what it 'posed to be that ain't all right, i'm just thankful that i could find you, seems like i was always behind you, i ain't worried 'bout no alzheimer, no, i don't need no fuckin' reminder, aw, yeah, say you'll always be my greatest fan, sing your favorite words just like a band, only if you'll love me like a stan, stan, stan, aw, man, down to walk the walk until the end, the prize, you find a lover and a friend, baby, let me love you like a stan, stan, stan, aw, man, all that i, all that i wanna do, is put it on, put it on, put it on, put it on the line, all that i, all that i wanna do is, is put it on, put it on, put it on, put it on the line, put it on the line, people go through life not knowing, not knowing what love is, people go through life not showing, not showing what love is, i mean, it's like you think you know, but you don't really know, then you find out, wow, you gotta learn things slow, but one thing i know, one thing i know, you, you got, you got all my love",800,stan,6lack,love
8,112,anywhere,", here we are all alone, you and me, privacy, and we can do anything, your fantasy, i wanna make your dreams come true, can you hear?, she's calling me, between your legs loud and clear, i wanna talk back to her, make love to her, i wanna hear you scream my name, we can make love on the bedroom, floating on top of my waterbed, i'm kissing you, running my fingers through your hair, in the hallway, making love away beside the stairs, we can do it anywhere. i can love you in the shower, both of our bodies dripping wet, on the patio we can make a night you won't forget, on the kitchen floor, as i softly pull your hair, we can do it anywhere, anywhere. i love the way your body feels, on top of mine so take your time, we got a night, girl, you know i like it slow, and i know you like it too, baby, please don't stop i feel it now, you feel it, too, you're shivering, ooh, you put me close to you, just let it flow, there's no other place to go, z too hot to stop, so we goin' from the bedroom to the floor, let you know a nigga miss you when out on tour, when our tongues touch, have a playboy thinkin' much, roll a dutch, let me tell you it turns me on, when 112 sing to you, what kinda feeling do it bring to you?, i pump hard till you say i'm being mean to you, i know the ice roley gleam to you, a true playa's what i seem to you, and if you want it, we can do it in the black 500, wit' the top down, in overdrive when we ride cuz i'm hot now, you got me goin', i don't think i wanna stop now, z feenin' like a criminal on lockdown, so let's get a way the ghetto way, you gettin' hot baby, please don't melt away, i got a crib on the beach palmetto-way, and here's your personal key to see me everyday, 112.",2841,anywhere,112,sex
9,5 seconds of summer,old me,"shout out to the old me, and everything he showed me, glad you didn't listen when the world was tryna slow me, no one could control me, left my lovers lonely, had to fuck it up before i really got to know me, never a night alone, anywhere you wanna go, woke up in the morning, wearing someone else's clothes, pictures in my phone, with people i don't know, woke up in the morning, how the hell'd i make it home?, and they wondered how long i could keep it up, but i wondered if i ever, if i'd ever get enough, and i did some shit i never should've done, i would do it over now, i'd do it over, shout out to the old me, and everything you showed me, glad you didn't listen when the world was tryna slow me, no one could control me, left my lovers lonely, had to fuck it up before i really got to know me, all of the mistakes i made, i made, i made, i made, whatever the price i paid, i paid, i paid, i paid, shout out to the old me, and everything you showed me, had to fuck it up before i let you get to know me, another round, here we go, going in, blow for blow, look into the mirror, take the punches that i throw, i'm constantly reminded, of all the compromises, by the people from my past who have a hard time letting go, and they wondered how long i could keep it up, but i wondered if i ever, if i'd ever get enough, and i did some shit i never shoulda done, i would do it over now, i'd do it over, shout out to the old me, and everything you showed me, glad you didn't listen when the world was tryna slow me, no one could control me, left my lovers lonely, had to fuck it up before i really got to know me, all of the mistakes i made, i made, i made, i made, whatever the price i paid, i paid, i paid, i paid, shout out to the old me, and everything you showed me, had to fuck it up before i let you get to know me, devil at my door, got me knocking, knocking, knocking, on the other side, ashes on the floor, but i'm walking, walking, walking, out of here alive, shout out to the old me, and everything you showed me, glad you didn't listen when the world was tryna slow me, no one could control me, left my lovers lonely, had to fuck it up before i really got to know me, all of the mistakes i made, i made, i made, i made, whatever the price i paid, i paid, i paid, i paid, shout out to the old me, and everything you showed me, had to fuck it up before i let you get to know me, ay, ay",89,old me,5 seconds of summer,love
