,ARTIST_NAME,SONG_NAME,LYRICS,meaning
0,public,make you mine,Well I will call you darlin and everything will be okay Cause I know that I am yours and you are mine Doesn t matter anyway In the night we ll take a walk it s nothin funny Just to talk Put your hand in mine You know that I want to be with you all the time You know that I won t stop until I make you mine You know that I won t stop until I make you mine Until I make you mine Well I have called you darlin and I ll say it again again So kiss me til I m sorry babe that you are gone and I m a mess And I ll hurt you and you ll hurt me and we ll say things we can t repeat Put your hand in mine You know that I want to be with you all the time You know that I won t stop until I make you mine You know that I won t stop until I make you mine Until I make you mine,love
1,the neighbourhood,sweater weather,All I am is a man I want the world in my hands I hate the beach but I stand In California with my toes in the sand Use the sleeves of my sweater Let s have an adventure Head in the clouds but my gravity s centered Touch my neck and I ll touch yours You in those little high waisted shorts oh She knows what I think about And what I think about One love two mouths One love one house No shirt no blouse Just us you find out Nothing that I wouldn t wanna tell you about no Cause it s too cold for you here And now so let me hold Both your hands in the holes of my sweater And if I may just take your breath away I don t mind if there s not much to say Sometimes the silence guides a mind To move to a place so far away The goosebumps start to raise The minute that my left hand meets your waist And then I watch your face Put my finger on your tongue Cause you love the taste yeah These hearts adore Everyone the other beats hardest for Inside this place is warm Outside it starts to pour,love
2,banners,someone to you,I don t wanna die or fade away I just wanna be someone I just wanna be someone Dive and disappear without a trace I just wanna be someone Well doesn t everyone And if you feel the great dividing I wanna be the one you re guiding Cause I believe that you could lead the way I just wanna be somebody to someone oh I wanna be somebody to someone oh I never had nobody and no road home I wanna be somebody to someone And if the sun starts setting the sky goes cold Then if the clouds get heavy and start to fall I really need somebody to call my own I wanna be somebody to someone Someone to you Someone to you Someone to you Someone to you,love
3,wayfarers,swimming in stars,Turn your speakers loud Feel the energy like lightning coming through the clouds And your heart just might explode Ooh oh oh oh oh ohh Come on scream it out Let em hear you let em see you yeah you see them now And it s pulsing through your bones Ooh oh oh oh oh ohh We ll be swimming in star ar ar ar ar ar ar ar ars We ll be swimming in star ar ar ar ar ar ar ar ars We ll shoot for the moon so what if we miss We ll light up the dark And be swimming in stars Swimming in stars Swimming in star ar ar ar ar ar ar ar ars We ll be swimming in star ar ar ar ar ar ar ar ars We ll be swimming in stars Ooh oh oh oh oh yeah eh eh ehh We are wild at heart We are wide eyed We know that it s time to start Light a spark and here we go Woah oh oh oh oh ooh,love
4,tate mcrae,stupid,Only think about him on the weekdays and weekends Only in the mornings and evenings Only when I wake up and sleep in Oh my God Should have read the warning on the label I don t Said Proceed with caution but I won t Guess I do it often I know I m already gone It s sad but true I d go to Hell and back if I could go there with you What do I do Oh my God I m a fool Keep on coming back to you I m so stupid for ya I m so stupid for ya You re so bad for my health But I just can t help myself I m so stupid for ya I m so stupid for ya Have a list of all my habits habits Wish I didn t have it so bad it s Cause all of them are you and The bad things that you do Ooh I wonder how you do it Make me feel stupid Try to fight it off but it s useless I m so foolish fooling around with you,love
5,ali gatie,what if i told you that i love you,What if I told you that I love you Would you tell me that you love me back What if I told you that I miss you Would you tell me that you miss me back What if I told you that I need you Would you tell me that you need me yeah If I tell you all my feelings Would you believe me yeah What if I told you that I lo lo lo lo lo lo lo love you Yeah What if I told you that I lo lo lo lo lo lo lo love you Yeah What if I told you that I need you Would you tell me that you need me too What if I told you that I lo lo lo lo lo lo lo love you Ayy when you told me that you d love me Was I a fool to believe in you When you told me I was special Was I dumb for trusting you When you told me that you want me Did you really want me Or was this all a joke to you I don t wanna say I miss you If I don t know that you miss me back I don t wanna say the wrong thing If I do there s no coming back,love
6,justin bieber,love yourself,For all the times that you rained on my parade And all the clubs you get in using my name You think you broke my heart oh girl for goodness sake You think I m cryin on my own well I ain t And I didn t wanna write a song Cause I didn t want anyone thinking I still care I don t but you still hit my phone up And baby I ll be movin on And I think you should be somethin I don t wanna hold back Maybe you should know that My mama don t like you and she likes everyone And I never like to admit that I was wrong And I ve been so caught up in my job didn t see what s going on But now I know I m better sleeping on my own Cause if you like the way you look that much Oh baby you should go and love yourself And if you think that I m still holdin on to somethin You should go and love yourself,love
7,lewis capaldi,hold me while you wait,I m waitin up savin all my precious time Losin light I m missin my same old us Before we learned our truth too late Resigned to fate fadin away So tell me can you turn around I need someone to tear me down Oh tell me can you turn around But either way Hold me while you wait I wish that I was good enough If only I could wake you up My love my love my love my love Won t you stay a while Tell me more tell me something I don t know Did we come close to havin it all If you re gonna waste my time Let s waste it right And hold me while you wait I wish that I was good enough If only I could wake you up My love my love my love my love Won t you stay a while I wish you cared a little more I wish you d told me this before My love my love my love my love Won t you stay a while,love
8,john legend,love me now,Pulling me further further than I ve been before Making me stronger shaking me right to the core Oh I don t know what s in the stars Never heard it from above the world isn t ours But I know what s in my heart if you ain t mine I ll be torn apart I don t know who s gonna kiss you when I m gone So I m gonna love you now like it s all I have I know it ll kill me when it s over I don t wanna think about it I want you to love me now I don t know who s gonna kiss you when I m gone So I m gonna love you now like it s all I have I know it ll kill me when it s over I don t wanna think about it I want you to love me now Love me now love me now Oh oh love me now oh oh oh yeah Love me now love me now Oh I want you to love me now Something inside us knows there s nothing guaranteed Yeah girl I don t need you to tell me that you ll never leave no When we ve done all that we could to turn darkness into light turn evil to good Even when we try so hard for that perfect kind of love it could all fall apart,love
9,taylor swift,wildest dreams,He said Let s get out of this town Drive out of the city away from the crowds I thought Heaven can t help me now Nothing lasts forever But this is gonna take me down He s so tall and handsome as hell He s so bad but he does it so well I can see the end as it begins My one condition is Say you ll remember me Standin in a nice dress Starin at the sunset babe Red lips and rosy cheeks Say you ll see me again Even if it s just in your Wildest dreams ah ha Wildest dreams ah ha I said No one has to know what we do His hands are in my hair his clothes are in my room And his voice is a familiar sound Nothin lasts forever But this is gettin good now,love
10,ed sheeran,perfect,I found a love for me Oh darling just dive right in and follow my lead Well I found a girl beautiful and sweet Oh I never knew you were the someone waiting for me Cause we were just kids when we fell in love Not knowing what it was I will not give you up this time But darling just kiss me slow your heart is all I own And in your eyes you re holding mine Baby I m dancing in the dark with you between my arms Barefoot on the grass listening to our favourite song When you said you looked a mess I whispered underneath my breath But you heard it darling you look perfect tonight Well I found a woman stronger than anyone I know She shares my dreams I hope that someday I ll share her home I found a love to carry more than just my secrets To carry love to carry children of our own We are still kids but we re so in love Fighting against all odds I know we ll be alright this time Darling just hold my hand Be my girl I ll be your man I see my future in your eyes,love
11,lewis capaldi,before you go,I fell by the wayside like everyone else I hate you I hate you I hate you but I was just kidding myself Our every moment I start to replace Cause now that they re gone all I hear are the words that I needed to say When you hurt under the surface Like troubled water running cold Well time can heal but this won t So before you go Was there something I could ve said To make your heart beat better If only I d have known you had a storm to weather So before you go Was there something I could ve said To make it all stop hurting It kills me how your mind can make you feel so worthless So before you go Was never the right time whenever you called Went little by little by little until there was nothing at all Our every moment I start to replay But all I can think about is seeing that look on your face,love
12,tate mcrae,you broke me first,You broke me first Maybe you don t like talking too much about yourself But you shoulda told me that you were thinking bout someone else You re drunk at a party or maybe it s just that your car broke down Your phone s been off for a couple of months so you re calling me now I know you you re like this When shit don t go your way you needed me to fix it And like me I did But I ran out of every reason Now suddenly you re asking for it back Could you tell me where d you get the nerve Yeah you could say you miss all that we had But I don t really care how bad it hurts When you broke me first You broke me first Took a while was in denial when I first heard That you moved on quicker than I could ve ever you know that hurt Swear for a while I would stare at my phone just to see your name But now that it s there I don t really know what to say,love
13,one direction,little things,Your hand fits in mine like it s made just for me But bear this in mind It was meant to be And I m joining up the dots with the freckles on your cheeks And it all makes sense to me I know you ve never loved the crinkles by your eyes When you smile you ve never loved your stomach or your thighs The dimples in your back at the bottom of your spine But I ll love them endlessly I won t let these little things slip out of my mouth But if I do it s you oh it s you they add up to I m in love with you and all these little things You can t go to bed without a cup of tea And maybe that s the reason that you talk in your sleep And all those conversations are the secrets that I keep Though it makes no sense to me I know you ve never loved the sound of your voice on tape You never want to know how much you weigh You still have to squeeze into your jeans But you re perfect to me I won t let these little things slip out of my mouth But if it s true it s you it s you they add up to I m in love with you and all these little things,love
