,name,artist,meaning,lyrics
0,make you mine,public,love,Well  I will call you darlin  and everything will be okay Cause I know that I am yours and you are mineDoesn t matter anywayIn the night  we ll take a walk  it s nothin  funnyJust to talkPut your hand in mineYou know that I want to be with you all the timeYou know that I won t stop until I make you mineYou know that I won t stop until I make you mineUntil I make you mineWell  I have called you darlin  and I ll say it again  againSo kiss me  til I m sorry  babe  that you are gone and I m a messAnd I ll hurt you and you ll hurt me and we ll say things we can t repeatPut your hand in mineYou know that I want to be with you all the timeYou know that I won t stop until I make you mineYou know that I won t stop until I make you mineUntil I make you mine
1,sweater weather,the neighbourhood,love,All I am is a manI want the world in my handsI hate the beach but I standIn California with my toes in the sandUse the sleeves of my sweaterLet s have an adventureHead in the clouds but my gravity s centeredTouch my neck and I ll touch yoursYou in those little high waisted shorts  ohShe knows what I think aboutAnd what I think aboutOne love  two mouthsOne love  one houseNo shirt  no blouseJust us  you find outNothing that I wouldn t wanna tell you about  no Cause it s too cold for you hereAnd now  so let me holdBoth your hands in the holes of my sweaterAnd if I may just take your breath awayI don t mind if there s not much to saySometimes the silence guides a mindTo move to a place so far awayThe goosebumps start to raiseThe minute that my left hand meets your waistAnd then I watch your facePut my finger on your tongue Cause you love the taste  yeahThese hearts adoreEveryone the other beats hardest forInside this place is warmOutside it starts to pour
2,someone to you,banners,love,I don t wanna die or fade awayI just wanna be someoneI just wanna be someoneDive and disappear without a traceI just wanna be someoneWell  doesn t everyone And if you feel the great dividingI wanna be the one you re guiding Cause I believe that you could lead the wayI just wanna be somebody to someone  ohI wanna be somebody to someone  ohI never had nobody and no road homeI wanna be somebody to someoneAnd if the sun starts setting  the sky goes coldThen if the clouds get heavy and start to fallI really need somebody to call my ownI wanna be somebody to someoneSomeone to youSomeone to youSomeone to youSomeone to you 
3,swimming in stars,wayfarers,love,Turn your speakers loudFeel the energy like lightning coming through the cloudsAnd your heart just might explodeOoh oh oh oh oh ohhCome on scream it outLet  em hear you  let  em see you  yeah  you see them nowAnd it s pulsing through your bonesOoh oh oh oh oh ohhWe ll be swimming in star ar ar ar ar ar ar ar arsWe ll be swimming in star ar ar ar ar ar ar ar arsWe ll shoot for the moon  so what if we miss We ll light up the darkAnd be swimming in stars Swimming in stars Swimming in star ar ar ar ar ar ar ar arsWe ll be swimming in star ar ar ar ar ar ar ar arsWe ll be swimming in starsOoh oh oh oh oh  yeah eh eh ehhWe are wild at heartWe are wide eyedWe know that it s time to startLight a spark and here we goWoah oh oh oh oh ooh
4,stupid,tate mcrae,love,Only think about him on the weekdays and weekendsOnly in the mornings and eveningsOnly when I wake up and sleep inOh my GodShould have read the warning on the label  I don tSaid   Proceed with caution   but I won tGuess I do it often  I know I m already gone It s sad but trueI d go to Hell and back if I could go there with youWhat do I do Oh my God  I m a foolKeep on coming back to youI m so stupid for yaI m so stupid for yaYou re so bad for my healthBut I just can t help myselfI m so stupid for yaI m so stupid for yaHave a list of all my habits  habitsWish I didn t have it so bad  it s Cause all of them are you andThe bad things that you doOoh  I wonder how you do itMake me feel stupidTry to fight it off  but it s uselessI m so foolish  fooling around with you 
5,what if i told you that i love you,ali gatie,love,What if I told you that I love you Would you tell me that you love me back What if I told you that I miss you Would you tell me that you miss me back What if I told you that I need you  Would you tell me that you need me  yeah If I tell you all my feelings Would you believe me  yeah What if I told you that I lo lo lo lo lo lo lo love you  YeahWhat if I told you that I lo lo lo lo lo lo lo love you  YeahWhat if I told you that I need you  Would you tell me that you need me  too What if I told you that I lo lo lo lo lo lo lo love you Ayy  when you told me that you d love meWas I a fool to believe in you When you told me I was specialWas I dumb for trusting you When you told me that you want meDid you really want me Or was this all a joke to you  I don t wanna say   I miss you If I don t know that you miss me back I don t wanna say the wrong thingIf I do  there s no coming back
6,love yourself,justin bieber,love,For all the times that you rained on my paradeAnd all the clubs you get in using my nameYou think you broke my heart  oh girl  for goodness sakeYou think I m cryin  on my own  well I ain tAnd I didn t wanna write a song Cause I didn t want anyone thinking I still careI don t  but you still hit my phone upAnd baby  I ll be movin  onAnd I think you should be somethin  I don t wanna hold backMaybe you should know thatMy mama don t like you and she likes everyoneAnd I never like to admit that I was wrongAnd I ve been so caught up in my job  didn t see what s going onBut now I know  I m better sleeping on my own Cause if you like the way you look that muchOh baby  you should go and love yourselfAnd if you think that I m still holdin  on to somethin You should go and love yourself
7,hold me while you wait,lewis capaldi,love,I m waitin  up  savin  all my precious timeLosin  light  I m missin  my same old usBefore we learned our truth too lateResigned to fate  fadin  awaySo tell me  can you turn around I need someone to tear me downOh  tell me  can you turn around But either wayHold me while you waitI wish that I was good enough If only I could wake you up My love  my love  my love  my loveWon t you stay a while  Tell me more  tell me something I don t knowDid we come close to havin  it all If you re gonna waste my timeLet s waste it rightAnd hold me while you waitI wish that I was good enough If only I could wake you up My love  my love  my love  my loveWon t you stay a while  I wish you cared a little more I wish you d told me this before My love  my love  my love  my loveWon t you stay a while  
8,love me now,john legend,love,Pulling me further  further than I ve been beforeMaking me stronger  shaking me right to the coreOh  I don t know what s in the starsNever heard it from above  the world isn t oursBut I know what s in my heart  if you ain t mine I ll be torn apartI don t know who s gonna kiss you when I m goneSo I m gonna love you now  like it s all I haveI know it ll kill me when it s overI don t wanna think about it  I want you to love me nowI don t know who s gonna kiss you when I m goneSo I m gonna love you now  like it s all I haveI know it ll kill me when it s overI don t wanna think about it  I want you to love me nowLove me now  love me nowOh  oh  love me now  oh  oh  oh  yeahLove me now  love me nowOh  I want you to love me nowSomething inside us knows there s nothing guaranteedYeah  girl  I don t need you to tell me that you ll never leave  noWhen we ve done all that we could to turn darkness into light  turn evil to goodEven when we try so hard for that perfect kind of love  it could all fall apart
9,wildest dreams,taylor swift,love,He said   Let s get out of this townDrive out of the city  away from the crowds I thought   Heaven can t help me now Nothing lasts foreverBut this is gonna take me downHe s so tall and handsome as hellHe s so bad  but he does it so wellI can see the end as it beginsMy one condition isSay you ll remember meStandin  in a nice dressStarin  at the sunset  babeRed lips and rosy cheeksSay you ll see me againEven if it s just in yourWildest dreams  ah  haWildest dreams  ah  haI said   No one has to know what we do His hands are in my hair  his clothes are in my roomAnd his voice is a familiar soundNothin  lasts foreverBut this is gettin  good now
10,perfect,ed sheeran,love,I found a love for meOh darling  just dive right in and follow my leadWell  I found a girl  beautiful and sweetOh  I never knew you were the someone waiting for me Cause we were just kids when we fell in loveNot knowing what it wasI will not give you up this timeBut darling  just kiss me slow  your heart is all I ownAnd in your eyes  you re holding mineBaby  I m dancing in the dark with you between my armsBarefoot on the grass  listening to our favourite songWhen you said you looked a mess  I whispered underneath my breathBut you heard it  darling  you look perfect tonightWell I found a woman  stronger than anyone I knowShe shares my dreams  I hope that someday I ll share her homeI found a love  to carry more than just my secretsTo carry love  to carry children of our ownWe are still kids  but we re so in loveFighting against all oddsI know we ll be alright this timeDarling  just hold my handBe my girl  I ll be your manI see my future in your eyes
11,before you go,lewis capaldi,love,I fell by the wayside like everyone elseI hate you  I hate you  I hate you but I was just kidding myselfOur every moment  I start to replace Cause now that they re gone  all I hear are the words that I needed to sayWhen you hurt under the surfaceLike troubled water running coldWell  time can heal but this won tSo  before you goWas there something I could ve saidTo make your heart beat better If only I d have known you had a storm to weatherSo  before you goWas there something I could ve saidTo make it all stop hurting It kills me how your mind can make you feel so worthlessSo  before you goWas never the right time  whenever you calledWent little by little by little until there was nothing at allOur every moment  I start to replayBut all I can think about is seeing that look on your face
12,you broke me first,tate mcrae,love,You broke me firstMaybe you don t like talking too much about yourselfBut you shoulda told me that you were thinking  bout someone elseYou re drunk at a party or maybe it s just that your car broke downYour phone s been off for a couple of months  so you re calling me nowI know you  you re like thisWhen shit don t go your way you needed me to fix itAnd like me  I didBut I ran out of every reasonNow suddenly you re asking for it backCould you tell me  where d you get the nerve Yeah  you could say you miss all that we hadBut I don t really care how bad it hurtsWhen you broke me firstYou broke me firstTook a while  was in denial when I first heardThat you moved on quicker than I could ve ever  you know that hurtSwear  for a while  I would stare at my phone just to see your nameBut now that it s there  I don t really know what to say
