,name,artist
0,Make You Mine,PUBLIC
1,Sweater Weather,The Neighbourhood
2,Someone To You,BANNERS
3,Electric Love,BØRNS
4,Swimming in Stars,Wayfarers
5,stupid,Tate McRae
6,What If I Told You That I Love You,Ali Gatie
7,Love Yourself,Justin Bieber
8,Like To Be You (feat. Julia Michaels),Shawn Mendes
9,Hide & Seek - Sunday Morning Edit,Mark Mendy
10,"Gone, Gone, Gone",Phillip Phillips
11,Hold Me While You Wait,Lewis Capaldi
12,Love Me Now,John Legend
13,Wildest Dreams,Taylor Swift
14,It's You,Ali Gatie
15,Perfect,Ed Sheeran
16,Before You Go,Lewis Capaldi
17,you broke me first,Tate McRae
18,Little Things,One Direction
19,All of Me,John Legend
20,Love Story (Taylor’s Version),Taylor Swift
21,Checkmate,Jena Rose
22,Hold On,Justin Bieber
23,Stereo Hearts (feat. Adam Levine),Various Artists
24,Everybody Talks,Neon Trees
25,Mine,Bazzi
26,YOU,Skylar Stecker
27,Can't Help Falling in Love,Christian Leave
28,Happier,Ed Sheeran
29,SLOW DANCING IN THE DARK,Joji
30,Get You the Moon,Kina
31,Thinking out Loud,Ed Sheeran
32,One Day,Tate McRae
33,Anyone,Justin Bieber
34,Beautiful People (feat. Khalid),Ed Sheeran
35,When Hello Means Goodbye,Alex Alexander
36,One Thing Right,Marshmello
37,good 4 u,Olivia Rodrigo
38,Runnin',Ark Woods
39,Saturday Nights,Khalid
40,Photograph,Ed Sheeran
41,Someone You Loved,Lewis Capaldi
42,Let It Go,James Bay
43,Dazed & Confused,Ruel
44,Happy Now?,Skyler Wind
45,Real Thing,Ruel
46,Golden Years - M-Phazes Remix,Ruel
47,Adore You,Harry Styles
48,Painkiller,Ruel
49,Let Me Down Slowly,Alec Benjamin
50,i'm so tired...,Lauv
51,Emotions,Mark Mendy
52,Teenage Mind,Tate McRae
53,talk is overrated,Jeremy Zucker
54,Yellow Hearts,Ant Saunders
55,No One Compares To You,Jack & Jack
56,SUGAR,BROCKHAMPTON
57,sex,EDEN
58,Cry In Public,Praa
59,Skinny Love,Birdy
60,Happiest Year,Jaymes Young
61,They Don't Know About Us,One Direction
62,Waiting,KIAN
63,I Like Me Better,Lauv
64,Just My Type,The Vamps
65,Somebody To You,The Vamps
66,Waiting For Love,Avicii
67,Bruises,Navagio
68,You Are The Reason,Calum Scott
69,I'm Yours,Jason Mraz
70,Wild Things,Alessia Cara
71,Impossible,James Arthur
72,Say My Name,Destiny's Child
73,Dusk Till Dawn - Radio Edit,ZAYN
74,Fighting with Fire,ARRIE
75,Phobias,Johnny Orlando
76,Just the Way You Are,Bruno Mars
77,Love Is More Depressing Than Depression,prxz
78,Moral of the Story,Ashe
79,Leave a Light On,Tom Walker
80,Wait for You,Tom Walker
81,Waste My Time,Johnny Orlando
82,Sleep,Johnny Orlando
83,All I Want,Kodaline
84,ily (i love you baby) (feat. Emilee),Surf Mesa
85,If I Can't Have You,Shawn Mendes
86,Attack Without Warning,Anna-Sophie
87,"10,000 Hours (with Justin Bieber)",Dan + Shay
88,Can We Kiss Forever?,Kina
89,Old Me,5 Seconds of Summer
90,Why,Sabrina Carpenter
91,Me And My Broken Heart,Rixton
92,Thinkin Bout You,Frank Ocean
93,Chasing Cars,Snow Patrol
94,Fix You,Coldplay
95,How to Save a Life,The Fray
96,When We Were Young,Adele
97,When You Love Someone,James TW
98,Don't Let Me Down,Conor Maynard
99,Pillowtalk,Conor Maynard
100,Make You Feel My Love,Adele
101,Your Song,Elton John
102,All of Me,John Legend
103,At Last - Single Version,Etta James
104,Beyond,Leon Bridges
105,Thinking out Loud,Ed Sheeran
106,Baby Can I Hold You,Tracy Chapman
107,A Thousand Years,Various Artists
108,Stand by Me,Ben E. King
109,My Love Is Your Love,Whitney Houston
110,Halo,Beyoncé
111,Let's Stay Together,Al Green
112,I Try,Macy Gray
113,How Long Will I Love You - Bonus Track,Ellie Goulding
114,Kiss from a Rose,Seal
115,I'll Stand by You,Pretenders
116,Chasing Cars,Snow Patrol
117,My Girl,The Temptations
118,Turn Me On,Norah Jones
119,Wonderful Tonight,Eric Clapton
120,Out Of Reach,Gabrielle
121,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Various Artists
122,Unchained Melody,The Righteous Brothers
123,You Are So Beautiful,Joe Cocker
124,Time After Time,Cyndi Lauper
125,Say You Won't Let Go,James Arthur
126,Put Your Records On,Corinne Bailey Rae
127,Iris,The Goo Goo Dolls
128,When You Say Nothing At All,Ronan Keating
129,It's All Coming Back to Me Now - Radio Version,Céline Dion
130,Take My Breath Away,Berlin
131,Warwick Avenue,Duffy
132,(Everything I Do) I Do It For You,Bryan Adams
133,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran
134,Wherever You Will Go,The Calling
135,Truly Madly Deeply,Savage Garden
136,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse
137,Can't Help Falling in Love,Elvis Presley
138,Every Breath You Take - Remastered 2003,The Police
139,Hero,Enrique Iglesias
140,We Belong Together,Mariah Carey
141,Careless Whisper,Wham!
142,Because of You,Kelly Clarkson
143,Ain't No Sunshine,Bill Withers
144,Purple Rain,Prince
145,With Or Without You,U2
146,Bleeding Love,Leona Lewis
147,Eternal Flame,The Bangles
148,I Want to Know What Love Is - 2008 Remaster,Foreigner
149,When a Man Loves a Woman - 2000 Remaster,Percy Sledge
150,No One,Alicia Keys
151,Total Eclipse of the Heart,Bonnie Tyler
152,Sexual Healing,Various Artists
153,Angels - 2004 Mix,Robbie Williams
154,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion
155,I Will Always Love You,Dolly Parton
156,Let It Go,James Bay
157,Endless Love,Various Artists
158,Last Request,Paolo Nutini
159,"Oh, Pretty Woman",Roy Orbison
160,I'll Be There,Various Artists
161,Heaven,Bryan Adams
162,Nothing Compares 2 U,Sinéad O'Connor
163,It Must Be Love,Madness
164,Somethin' Stupid,Frank Sinatra
165,I Have Nothing,Whitney Houston
166,A Thousand Miles,Vanessa Carlton
167,Never Too Much,Luther Vandross
168,You Make It Real,James Morrison
169,I Say a Little Prayer,Aretha Franklin
170,(Sittin' On) the Dock of the Bay,Otis Redding
171,Can You Feel the Love Tonight,Various Artists
172,Without You,Mariah Carey
173,Killing Me Softly With His Song,Roberta Flack
174,I Swear,All-4-One
175,Be My Baby,Various Artists
176,"You're The First, The Last, My Everything",Barry White
177,For Once In My Life,Stevie Wonder
178,You to Me Are Everything,The Real Thing
179,Mandy,Barry Manilow
180,Just Be,Paloma Faith
181,Ordinary People,John Legend
182,She's Always a Woman,Billy Joel
183,Don't Dream It's Over,Crowded House
184,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer
185,Lay Me Down - Single Version,Sam Smith
186,Saving All My Love for You,Whitney Houston
187,Babylon,David Gray
188,Fast Car,Tracy Chapman
189,Save Tonight,Eagle-Eye Cherry
190,True - Single Edit,Spandau Ballet
191,I'll Make Love To You,Boyz II Men
192,Take Me Home,Jess Glynne
193,Run,Stephen Fretwell
194,Shallow,Lady Gaga
195,Back for Good - Radio Mix,Take That
196,How Do I Live,LeAnn Rimes
197,Drops of Jupiter (Tell Me),Train
198,You're Still The One,Shania Twain
199,You And Me,Lifehouse
200,I Couldn't Be More In Love,The 1975
201,Fallingforyou,The 1975
202,Lovesong (The Way) [feat. Bluets],Charlie Burg
203,The Most Beautiful Thing,Bruno Major
204,Blessed,Daniel Caesar
205,Darling,Christian Leave
206,tkm,boy pablo
207,Japanese Denim,Daniel Caesar
208,Airplane Mode,Limbo
209,Us and the Moon,Kam Michael
210,Heavenly,Cigarettes After Sex
211,Nothing's Gonna Hurt You Baby,Cigarettes After Sex
212,Mine,The 1975
213,Sweet,Cigarettes After Sex
214,Come Inside Of My Heart,IV Of Spades
215,Atlas: Two,Sleeping At Last
216,Can I Call You Tonight?,Dayglow
217,Angel,FINNEAS
218,Tightrope,ZAYN
219,I Would,COIN
220,Love Song for No One,John Mayer
221,People Watching,Conan Gray
222,Make Me Your Queen,Declan McKenna
223,Meteor Shower,Cavetown
224,Cloud 9,Beach Bunny
225,Pretty Boy,The Neighbourhood
226,This Love,Taylor Swift
227,crushcrushcrush,Paramore
228,Love Like You,Caleb Hyles
229,Lucky Ones,Lana Del Rey
230,Paper Rings,Taylor Swift
231,that way,Tate McRae
232,I Wanna Be Yours,Arctic Monkeys
233,"Dance, Baby!",boy pablo
234,Hot Rod,Dayglow
235,Dontmakemefallinlove,Cuco
236,Falling for the Wrong One,Dreamer Boy
237,24 / 7 / 365,Surfaces
238,Scrawny,Wallows
239,Sports,Beach Bunny
240,I Don't Wanna Be Okay Without You,Charlie Burg
241,Captivated,IV Of Spades
242,We Find Love,Daniel Caesar
243,i <3 u,boy pablo
244,I Love You So,The Walters
245,Loving Is Easy,Rex Orange County
246,Glad You Exist,Dan + Shay
247,The Good Ones,Gabby Barrett
248,Closer To You,Carly Pearce
